country;HPI;population;GDPpcap;lifeExp;region;footprint;wellbeing;renewableEnergy;hunger;qualityOfLife;purchasingPower;climate
United Kingdom;31.9;63700300;41295;80.4;Europe;4.9;6.6;7.294.445.315;;180.25;120;81.6
United States of America;20.7;314112078;51457;78.8;Americas;8.2;6.5;8.913.332.385;;183.96;139.17;67.57
Uruguay;36.1;3396753;15128;76.9;Americas;2.9;5.8;5.543.136.677;94.4;;;
Uzbekistan;29.1;29774500;1719;68.2;Post-communist;2.3;5.6;2.896.783.711;86.9;;;
Vanuatu;40.6;247498;3158;71.3;Asia Pacific;1.9;5.9;3.243.370.496;93;;;
Venezuela;33.6;29854238;12772;73.9;Americas;3.6;6.5;1.229.750.254;;;;
Vietnam;40.3;88809200;1755;75.5;Asia Pacific;1.7;5.2;3.620.010.563;85.5;;;
Yemen;22.8;24882792;1289;63.3;Middle East and North Africa;1;3.6;1.063.803.215;65;;;
Zambia;25.2;14786581;1687;58.4;Sub Saharan Africa;1;4.5;8.808.671.076;61;;;
Zimbabwe;22.1;14565482;851;53.7;Sub Saharan Africa;1.4;4.6;8.113.041.384;71.2;;;
